4102	4102	Bahía Guanaquero
4103	4102	Bahía Tongoy
4108	4102	Bahía Tongoy II
10002	10204	Los Palqui
10201	10204	Ancud Faro Corona
10204	10201	Caleta Rilán
10206	10201	Punta Pullao
10207	10210	Chequian
10218	10208	Curanue
10219	10204	Quetalco
10220	10203	Vilupulli
10221	10203	Teupa
10222	10208	Yaldad
10224	10102	Estero Chauquear
10227	10203	Terao
10228	10205	Calen
10300	10202	Bahía Linao
10304	10208	Quellón Viejo
10306	10206	Isla Lemuy
10310	10101	Huenquillahue
10314	10102	Canal Caicaen
10316	10102	Estero Puluqui
10322	10102	Punta Lolcura-Isla Puluqu
10324	10203	Estero Lingue
10326	10102	Canal Chidguapi
10327	10208	Estero Yaldad
10331	10201	Rilán Sur
10333	10103	Punta Chocoy
10338	10102	Estero Pilolcura
10344	10206	Detif
10345	10101	Bahia Huelmo
10346	10210	Conchas Blancas
10348	10206	Lincay - Canal Yal
10349	10401	Rada Naranjo - Isla Talcán
10353	10201	Punta Lepe
10354	10207	Quechu
10355	10202	Guapilinao Bahía Linao
10357	10202	Estero Quetalmahue
10359	10204	Changuitad
10363	10201	Punta Aguantao
10365	10204	Huyar
10366	10101	Capeguapi
10368	10209	Tubildad
10370	10209	Estero Tubildad
10371	10204	Huyar Bajo
10372	10210	Punta Coñue - Isla Lin Lin
10374	10203	Bahía Yal-Sector I
10376	10208	Canal Coldita
10377	10206	Punta Chalihue
10381	10102	Punta Llancacheo
10382	10101	Bahía Ilque
10385	10209	Isla Aulin
10386	10210	Punta Coquemcura
10388	10210	Sureste Punta Tanecuhe
10389	10203	Canal Yal
10393	10401	Isla Nihuel
10395	10210	Punta Cuem
10396	10204	La Planchada
10401	10201	Punta Pindo
10403	10201	Pullao
10405	10210	Sureste Punta Coquemcura
10413	10208	Laitec
10415	10208	Bahía Asasao
10417	10203	Punta Terao
10419	10209	Caucahue
10421	10101	Bahía Huenquillahue Sector III
10422	10204	Sector Tanecuhe
10424	10208	Faro Yelcho
10428	10201	Punta Yutuy
10431	10201	Canal Lemuy Carahue
10432	10209	Punta Queler
10434	10206	Liucura
10435	10204	Punta Coñao
10436	10205	Paso Tenaun
10440	10102	Estero Huito El Rosario
10441	10206	Punta Yelqui
10443	10102	Huito
10449	10201	Punta Lepe Sector II
10450	10102	Caicaen II
10453	10208	Bahía Huellonquén
10455	10102	Ensenada Codihue
10458	10403	Caleta Andrade
10459	10403	Norte Punta Piutil
10463	10208	Yelcho
10466	10210	Isla Apiao
10469	10204	Canal Dalcahue
10470	10204	Huenao Isla Quinchao
10473	10202	Bahía Manao
10475	10102	Estero Rulo
10478	10204	Oeste Punta Tanecuhe
10481	10102	Paso Quenu
10484	10102	Punta Meimen
10490	10101	Punta Quillaipe
10493	10403	Estero Pichicolo
10495	10102	Estero Chope Sector II
10497	10204	Isla Quinchao Tanecuhe
10500	10401	Ayacara
10502	10102	Punta Colaco
10503	10209	Punta Loncoene
10504	10210	Isla Quenac
10505	10101	Quellaipe
10506	10208	Quellón Viejo Sector II
10507	10102	Chidguapi
10508	10206	Lincay
10509	10203	Playa Cucao
10510	10102	Isla Guar
10512	10206	Canal Lemuy II
10513	10210	Isla Alao
10516	10102	Norte Punta Pedregal
10517	10208	Isla San Pedro
10518	10403	Ensenada Quetén
10519	10403	Hornopiren
10520	10208	Ensenada Pilquin
10521	10403	Puntilla Pichicolo
10522	10208	Estero Compu
10523	10101	Punta Capacho
10524	10103	Bahía Sotomo
10525	10204	Bahía Huyar
10526	10206	Yelqui
10527	10204	Los Palqui II
10529	10101	Isla Maillen
10530	10101	Bahía Ilque II
