1	9071	9071/907-1__cel_descon_T_conj_100x.JPG	célula desconocido tejido conjuntivo	4		
2	9071	9071/907-1__cel_descon_T_conj_40x.JPG	célula desconocido tejido conjuntivo	3		
3	9071	9071/907-1__cel_descon_T_conj_otra_100x.JPG	célula desconocido tejido conjuntivo otra	4		
4	9071	9071/907-1_branquia_100x.JPG	bránquia	4		
5	9071	9071/907-1_branquia_40x.JPG	bránquia	3		
6	9071	9071/907-1_branquia_otra_100x.JPG	bránquia otra	4		
7	9071	9071/907-1_NN_en_int_100x.JPG	desconocido en intestino	4		
8	90710	90710/907-10_Gon_femen_madura_20x.JPG	gónada femenina madura	2		
9	90710	90710/907-10_NN_en_branq_20x.JPG	desconocido en bránquia	2		
10	90710	90710/907-10_NN_en_branq_40x.JPG	desconocido en bránquia	3		
11	90710	90710/907-10_NN_en_gla_100x.JPG	desconocido en glándula	4		
12	90710	90710/907-10_NN_en_int_40x.JPG	desconocido en intestino	3		
13	90710	90710/907-10_T_ADG_grado_2_20x.JPG	tejido adipogranular grado 2	2		
14	90710	90710/907-10_Trombo_ep_40x.JPG	Trombo epitelio	3		
15	90711	90711/907-11_Gon_atres_1_20x.JPG	gónada atrésica 1	2		
16	90711	90711/907-11_Gon_atres_2_20x.JPG	gónada atrésica 2	2		
17	90712	90712/907-12_Ep_intest_100x.JPG	epitelio intestino	4		
18	90712	90712/907-12_Ep_intest_40x.JPG	epitelio intestino	3		
19	90712	90712/907-12_NN_en_int_100x.JPG	desconocido en intestino	4		
20	90713	90713/907-13_NN_en_gla_100x.JPG	desconocido en glándula	4		
21	90714	90714/907-14_NN_en_int_100x.JPG	desconocido en intestino	4		
22	90716	90716/907-16_T_ADG_grado_2_10x.JPG	tejido adipogranular grado 2	1		
23	90716	90716/907-16_T_ADG_grado_2_5x.JPG	tejido adipogranular grado 2	0		
24	90717	90717/907-17_T_ADG_grado_2_20x.JPG	tejido adipogranular grado 2	2		
25	90718	90718/907-18_Fase_B_100x.JPG	Fase B	4		
26	90718	90718/907-18_Gon_atres_20x.JPG	gónada atrésica	2		
27	90719	90719/907-19_NN_en_int_100x.JPG	desconocido en intestino	4		
28	90719	90719/907-19_NN_en_int_40x.JPG	desconocido en intestino	3		
29	9072	9072/907-2__gla_gordita_20x.JPG	glándula gordita	2		
30	9072	9072/907-2__gla_gordita_40x.JPG	glándula gordita	3		
31	9072	9072/907-2__macho_atresico_20x.JPG	macho atrésica	2		
32	9072	9072/907-2__macho_atresico_gla_10x.JPG	macho atrésica glándula	1		
33	9072	9072/907-2__macho_atresico_hoyo_10x.JPG	macho atrésica hoyo	1		
34	9072	9072/907-2__manto_20x.JPG	manto	2		
35	9072	9072/907-2_branquia_100x.JPG	bránquia	4		
36	9072	9072/907-2_branquia_40x.JPG	bránquia	3		
37	9072	9072/907-2_branquia_otro_lado_100x.JPG	bránquia otro lado	4		
38	9072	9072/907-2_Fase_A_20x.JPG	Fase A	2		
39	9072	9072/907-2_Macho_atresico_2_20x.JPG	Macho atrésica 2	2		
40	9072	9072/907-2_Macho_atresico_20x.JPG	Macho atrésica	2		
41	9072	9072/907-2_T_ADG_grado_2_10x.JPG	tejido adipogranular grado 2	1		
42	9072	9072/907-2_T_ADG_grado_2_5x.JPG	tejido adipogranular grado 2	0		
43	90720	90720/907-20_Glandula_20x.JPG	glándula	2		
44	90720	90720/907-20_Gon_atres_20x.JPG	gónada atrésica	2		
45	90721	90721/907-21_Descamacion_branq_20x.JPG	Descamacion bránquia	2		
46	90721	90721/907-21_Glandula_digestiva_40x.JPG	glándula digestiva	3		
47	90721	90721/907-21_Gon_atres_-_T_ADP_10x.JPG	gónada atrésica - tejido adipogranular	1		
48	90721	90721/907-21_Gon_atres_-_T_ADP_5x.JPG	gónada atrésica - tejido adipogranular	0		
49	90722	90722/907-22_Infiltra_hemoci_20x.JPG	infiltración hemocítica	2		
50	90722	90722/907-22_micro_100x.JPG	microsporidio	4		
51	90722	90722/907-22_micro_2_100x.JPG	microsporidio 2	4		
52	90722	90722/907-22_micro_2_40x.JPG	microsporidio 2	3		
53	90722	90722/907-22_micro_40x.JPG	microsporidio	3		
54	90722	90722/907-22_NN_en_gla_100x.JPG	desconocido en glándula	4		
55	90722	90722/907-22_T_ADG_grado_1_20x.JPG	tejido adipogranular grado 1	2		
56	90722	90722/907-22_Tejido_desc_2_40x.JPG	Tejido desconocido 2	3		
57	90722	90722/907-22_Tejido_descon_100x.JPG	Tejido desconocido	4		
58	90722	90722/907-22_Tejido_descon_20x.JPG	Tejido desconocido	2		
59	90722	90722/907-22_Tejido_descon_40x.JPG	Tejido desconocido	3		
60	90723	90723/907-23_Glandula_20x.JPG	glándula	2		
61	90723	90723/907-23_Glandula_40x.JPG	glándula	3		
62	90727	90727/907-27_Glandula_40x.JPG	glándula	3		
63	90727	90727/907-27_Hemocitos_40x.JPG	Hemocitos	3		
64	90727	90727/907-27_NN_en_int_100x.JPG	desconocido en intestino	4		
65	90727	90727/907-27_NN_en_int_40x.JPG	desconocido en intestino	3		
66	90729	90729/907-29_Fase_B_100x.JPG	Fase B	4		
67	90729	90729/907-29_Fase_B_20x.JPG	Fase B	2		
68	90729	90729/907-29_Glandula_digestiva_100x.JPG	glándula digestiva	4		
69	90729	90729/907-29_Glandula_digestiva_2_100x.JPG	glándula digestiva 2	4		
70	90729	90729/907-29_Glandula_digestiva_20x.JPG	glándula digestiva	2		
71	90730	90730/907-30_Tubulo_digestivo_aplanado_40x.JPG	túbulos digestivo aplanados	3		
72	90730	90730/907-30_Tubulos_digestivos_aplanados_20x.JPG	túbulos digestivos aplanados	2		
73	91211	91211/912-11_Glan_aplanada_20x.JPG	glándula aplanados	2		
74	91211	91211/912-11_Glan_aplanada_y_normal_20x.JPG	glándula aplanados y normal	2		
75	91211	91211/912-11_Posibles_ovogonias_en_macho_40x.JPG	Posibles ovogonias en macho	3		
76	9122	9122/912-2_glandula__RLOs_40x.JPG	glándula RLOs	3		
77	9122	9122/912-2_glandula__RLOs_otra_100x.JPG	glándula RLOs otra	4		
78	9122	9122/912-2_glandula__RLOs_otra_40x.JPG	glándula RLOs otra	3		
79	9122	9122/912-2_glandula_rota_100x.JPG	glándula rota	4		
80	9122	9122/912-2_glandula_rota_2_100x.JPG	glándula rota 2	4		
81	9122	9122/912-2_glandula_rota_3_100x.JPG	glándula rota 3	4		
82	9124	9124/912-4_Foliculo_masculino_en_desove_20x.JPG	Foliculo masculino en desove	2		
83	9124	9124/912-4_T_ADG_grado_2_10x.JPG	tejido adipogranular grado 2	1		
84	9124	9124/912-4_T_ADG_grado_2_5x.JPG	tejido adipogranular grado 2	0		
85	9125	9125/912-5_T_ADG_grado_3_10x.JPG	tejido adipogranular grado 3	1		
86	9125	9125/912-5_T_ADG_grado_3_5x.JPG	tejido adipogranular grado 3	0		
87	9126	9126/912-6_Nefridios_dilat_20x.JPG	Nefridios dilatados	2		
88	9127	9127/912-7_Infilt_nefridio_20x.JPG	infiltración nefridio	2		
89	9128	9128/912-8_T_ADG_grado_4_10x.JPG	tejido adipogranular grado 4	1		
90	9128	9128/912-8_T_ADG_grado_4_5x.JPG	tejido adipogranular grado 4	0		
91	9129	9129/912-9_T_ADG_en_grado_3_10x.JPG	tejido adipogranular en grado 3	1		
92	919129	919129/919-12D-1_RLOs_en_branq_100x.JPG	RLOs en bránquia	4		
93	919130	919130/919-12D-2_RLOs_en_branq_100x.JPG	RLOs en bránquia	4		
94	91992	91992/919-15C-1_Ciliado_en_branq_100x.JPG	Ciliado en bránquia	4		
95	91992	91992/919-15C-1_Ciliado_en_branq_40x.JPG	Ciliado en bránquia	3		
96	91992	91992/919-15C-1_Gland_degenerada_40x.JPG	glándula degenerada	3		
97	91993	91993/919-15C-2_Infiltracion_en_estom_20x.JPG	infiltración en estom	2		
98	91994	91994/919-15C-3_Infiltracion_en_intest_40x.JPG	infiltración en intestino	3		
99	91994	91994/919-15C-3_Infiltracion_intest_20x.JPG	infiltración intestino	2		
